requested_relative_ms	sample_relative_ms	z_mm	central_radius_mm	central_crossings
50	49.9166666667	0	3.38869924891	1
50	49.9166666667	0.25	3.40968591558	1
50	49.9166666667	0.5	3.43067258224	1
50	49.9166666667	0.75	3.47532649864	1
50	49.9166666667	1	3.54120649864	1
50	49.9166666667	1.25	3.60708649864	1
50	49.9166666667	1.5	3.67296649864	2
50	49.9166666667	1.75	3.87683726003	1
50	49.9166666667	2	3.89912259337	1
50	49.9166666667	2.25	3.73928635714	2
50	49.9166666667	2.5	3.97405842176	1
50	49.9166666667	2.75	3.83894030275	1
50	49.9166666667	3	2.41351622728	1
50	49.9166666667	3.25	3.51557629429	1
50	49.9166666667	3.5	3.13707743077	1
50	49.9166666667	3.75	1.75016615267	1
50	49.9166666667	4	1.44845939766	1
50	49.9166666667	4.25	1.14675264266	1
50	49.9166666667	4.5	0.736864910864	1
50.5	50.4166666667	0	3.38236470236	1
50.5	50.4166666667	0.25	3.39957536902	1
50.5	50.4166666667	0.5	3.41678603569	1
50.5	50.4166666667	0.75	3.45054788634	1
50.5	50.4166666667	1	3.51344655301	1
50.5	50.4166666667	1.25	3.57634521968	1
50.5	50.4166666667	1.5	3.63924388634	2
50.5	50.4166666667	1.75	3.72999238272	2
50.5	50.4166666667	2	3.73878544151	2
50.5	50.4166666667	2.25	3.74757850031	2
50.5	50.4166666667	2.5	3.99281871023	1
50.5	50.4166666667	2.75	3.8677438898	1
50.5	50.4166666667	3	2.73780462447	1
50.5	50.4166666667	3.25	1.96784733143	2
50.5	50.4166666667	3.5	3.38864260504	1
50.5	50.4166666667	3.75	1.83276427723	1
50.5	50.4166666667	4	1.52177842744	1
50.5	50.4166666667	4.25	1.21079257765	1
50.5	50.4166666667	4.5	0.936624779373	1
50.5	50.4166666667	4.75	0.0720913968573	1
51	50.9166666667	0	3.37612214369	1
51	50.9166666667	0.25	3.38997814369	1
51	50.9166666667	0.5	3.40383414369	1
51	50.9166666667	0.75	3.42894065606	1
51	50.9166666667	1	3.48774865606	1
51	50.9166666667	1.25	3.54655665606	1
51	50.9166666667	1.5	3.60536465606	1
51	50.9166666667	1.75	3.70492397197	2
51	50.9166666667	2	3.72791998614	2
51	50.9166666667	2.25	3.88221939132	1
51	50.9166666667	2.5	3.92091805798	1
51	50.9166666667	2.75	3.8882450644	1
51	50.9166666667	3	3.77564628566	1
51	50.9166666667	3.25	2.28813905496	2
51	50.9166666667	3.5	3.58484540986	1
51	50.9166666667	3.75	2.87245939162	1
51	50.9166666667	4	1.60398305124	1
51	50.9166666667	4.25	1.28356879962	1
51	50.9166666667	4.5	0.955362074532	1
51	50.9166666667	4.75	0.280874823824	1
51.5	51.4166666667	0	3.37221327913	1
51.5	51.4166666667	0.25	3.38313061246	1
51.5	51.4166666667	0.5	3.3940479458	1
51.5	51.4166666667	0.75	3.4103713585	1
51.5	51.4166666667	1	3.4646993585	1
51.5	51.4166666667	1.25	3.5190273585	1
51.5	51.4166666667	1.5	3.5733553585	1
51.5	51.4166666667	1.75	3.67917393752	2
51.5	51.4166666667	2	3.71332230505	2
51.5	51.4166666667	2.25	3.74747067257	2
51.5	51.4166666667	2.5	3.90174700026	1
51.5	51.4166666667	2.75	3.89933874813	1
51.5	51.4166666667	3	3.80060034669	1
51.5	51.4166666667	3.25	2.63928279778	1
51.5	51.4166666667	3.5	3.74802825612	1
51.5	51.4166666667	3.75	3.11832648288	1
51.5	51.4166666667	4	1.69647613825	1
51.5	51.4166666667	4.25	1.36632346649	1
51.5	51.4166666667	4.5	1.03739778134	1
51.5	51.4166666667	4.75	0.49498740479	1
52	51.9166666667	0	3.36855482353	1
52	51.9166666667	0.25	3.37652815687	1
52	51.9166666667	0.5	3.3845014902	1
52	51.9166666667	0.75	3.39522005343	1
52	51.9166666667	1	3.44486538676	1
52	51.9166666667	1.25	3.4945107201	1
52	51.9166666667	1.5	3.54415605343	1
52	51.9166666667	1.75	3.64815754934	1
52	51.9166666667	2	3.69032893689	2
52	51.9166666667	2.25	3.73250032444	2
52	51.9166666667	2.5	3.87879180066	1
52	51.9166666667	2.75	3.90218323492	1
